Company Rate,Company Name,Title,Location,Salary,Staus,Post Date,Job Link
4.6,Guardian Research Network,Data Scientist I,Remote,,Hot,19/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_06895a72&cb=1617667779782&jobListingId=4037690084
3.8,Alcon,Safety Data Scientist I,"Fort Worth, TX",$63K - $114K (Glassdoor est.),New,04/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_3efe8347&cb=1617667779783&jobListingId=4052891482
3.2,bluebird bio,Data Scientist I/II,"Cambridge, MA",$55K - $95K (Glassdoor est.),,10/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_00c0a09c&cb=1617667779783&jobListingId=4027598652
3.7,Nordstrom,Data Scientist 1 - Supply Chain,"Seattle, WA",$102K - $160K (Glassdoor est.),Hot,18/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=133175&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_6cd888ae&cb=1617667779783&jobListingId=4036601892
3.8,Amazon.com Services LLC,Applied Scientist I,"New York, NY",$24K - $178K (Glassdoor est.),Hot,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=310&ao=133043&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_843784b8&cb=1617667779783&jobListingId=3814691281
3.4,Charles River Laboratories,"Scientist 1, In Vivo","Boston, MA",$56K - $110K (Glassdoor est.),Hiring Surge,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=311&ao=1044074&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_a7741815&cb=1617667779784&jobListingId=4050547066
4.1,Frequence,Data Scientist (PhD Entry-Level),"Mountain View, CA",,,15/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=312&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_87213aa5&cb=1617667779784&jobListingId=3663412690
2.1,Net Atlantic,Entry Level Data Analyst,"Salem, MA",$33K - $61K (Glassdoor est.),,19/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_d3c33832&cb=1617667779784&jobListingId=4007154791
3.4,Charles River Laboratories,Scientist 1 Methods Qualification & Validation,"Wayne, PA",$39K - $93K (Glassdoor est.),Hiring Surge,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=1044074&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_954e55c0&cb=1617667779784&jobListingId=4019864226
3.9,Luminex,Scientist Level 1 - Data Analyst - US,"Northbrook, IL",$52K - $88K (Glassdoor est.),,27/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=315&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1c78d1dd&cb=1617667779784&jobListingId=4015669670
3.3,Mattress Firm,Data Scientist-1,Remote,,Hiring Surge,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=316&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_ae3db3a2&cb=1617667779784&jobListingId=4048816924
3.7,Sovrn Holdings,Data Scientist I Boulder,"Boulder, CO",$78K - $128K (Glassdoor est.),,17/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=317&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_75d08c14&cb=1617667779784&jobListingId=3802746560
3.9,Cepheid,Scientist I,"Sunnyvale, CA",$52K - $114K (Glassdoor est.),,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=318&ao=618763&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_ce43492a&cb=1617667779785&jobListingId=3739228127
3.3,Conde Nast,Data Engineering Summer Fellow,"New York, NY",$80K - $152K (Glassdoor est.),,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=319&ao=1136006&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_74810b08&cb=1617667779785&jobListingId=4018834616
3.8,BD,Scientist I,"Baltimore, MD",$33K - $76K (Glassdoor est.),,03/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=320&ao=187657&s=58&guid=00000178a4836bb8a6deecce13ca0e51&src=GD_JOB_AD&t=SR&vt=w&cs=1_181b0aa3&cb=1617667779785&jobListingId=3792114367
